POC,X,Y,W,D,dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,SAD,SSE,MSE,COST_2Nx2N,COST_MSM,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,TR_SKIP,NON-Z-COEFF,TIME_ms,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,AVG_NEIGH_DEPTH,SVM_PU_UP,SVM_TU_UP,SVM_FME_UP,SVM_CU,SVM_PU,SVM_TU,SVM_FME,FINAL_PU,FINAL_TU,FINAL_FME,SPLIT
4.000000,32.000000,64.000000,32.000000,1.000000,0.000000,2.000000,0.000000,110.000000,142410.000000,222069.008000,0.000000,0.000000,0.000000,222741.736000,222069.008000,1.003029,0.003029,0.996980,1.000000,0.000000,0.000000,0.000000,18.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,1.000000,2.000000,1.000000
4.000000,32.000000,64.000000,16.000000,2.000000,0.000000,2.000000,0.000000,46.000000,30069.000000,63380.948800,0.000000,0.000000,0.000000,69987.467200,63380.948800,1.104235,0.104235,0.905604,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,0.000000,0.000000,0.000000
4.000000,48.000000,64.000000,16.000000,2.000000,0.000000,0.000000,0.000000,5.000000,34728.000000,38348.864000,0.000000,0.000000,0.000000,54740.209600,38348.864000,1.427427,0.427427,0.700561,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.000000,2.000000,0.000000
4.000000,32.000000,80.000000,16.000000,2.000000,0.000000,2.000000,0.000000,42.000000,28983.000000,59398.257600,0.000000,0.000000,0.000000,61916.430400,59398.257600,1.042395,0.042395,0.959329,1.000000,0.000000,0.000000,0.000000,6.000000,0.000000,0.000000,7.000000,0.790569,7.000000,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.000000,2.000000,0.000000
4.000000,48.000000,80.000000,16.000000,2.000000,0.000000,0.000000,0.000000,4.000000,22693.000000,25589.691200,0.000000,0.000000,0.000000,27953.900800,25589.691200,1.092389,0.092389,0.915425,1.000000,0.000000,0.000000,0.000000,8.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,0.000000,96.000000,32.000000,1.000000,0.000000,0.000000,0.000000,1.000000,65800.000000,66524.172800,0.000000,0.000000,0.000000,69838.382400,66524.172800,1.049820,0.049820,0.952545,1.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,32.000000,96.000000,32.000000,1.000000,0.000000,2.000000,0.000000,73.000000,69092.000000,121956.614400,0.000000,0.000000,0.000000,147680.243200,121956.614400,1.210924,0.210924,0.825815,1.000000,0.000000,1.000000,0.000000,10.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,2.000000,1.000000,0.000000,0.000000,1.000000,4.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000,0.000000,0.000000,1.000000
4.000000,32.000000,96.000000,16.000000,2.000000,0.000000,2.000000,0.000000,39.000000,17548.000000,45790.739200,0.000000,0.000000,0.000000,78105.184000,45790.739200,1.705698,0.705698,0.586270,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,0.790569,7.000000,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000,0.000000,0.000000,0.000000
4.000000,48.000000,96.000000,16.000000,2.000000,0.000000,0.000000,0.000000,4.000000,2774.000000,5670.691200,0.000000,0.000000,0.000000,17942.628800,5670.691200,3.164099,2.164099,0.316046,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,32.000000,112.000000,16.000000,2.000000,0.000000,1.000000,0.000000,26.000000,29836.000000,48664.492800,0.000000,0.000000,0.000000,48664.492800,58195.048000,0.836231,-0.163769,1.000000,0.836231,-0.163769,0.000000,0.000000,2.000000,0.000000,1.000000,9.433981,0.790569,16.124515,0.790569,8.246211,0.707107,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000,0.000000,0.000000,0.000000
